"","sp1_common","sp1_scientific","sp1_tax_res","sp1_tax_group","sp1_lifestage","sp2_common","sp2_scientific","sp2_tax_res","sp2_tax_group","sp2_lifestage","effect_sp1_on_sp2","effect_sp2_on_sp1","interaction","interaction_strength","interaction_freq_count","interaction_freq_percent","time_of_year","year","elevation","vertical_strata","latitude","longitude","location_description","habitat_description","source_citation","source_URL","text_excerpt_occ","text_excerpt_ixn","raw_data","name_changes","other_sp1","comments","occ_freq","raw_data_ID","sp1_gbif","sp2_gbif"
"61","Thomas's Yellow Bat","Rhogeessa io","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"June",2025,NA,NA,10.3991422635,-84.0963323262,"positional accuracy = 74 m",NA,NA,"https://www.inaturalist.org/observations/287949077",NA,NA,NA,NA,NA,NA,NA,NA,"Rhogeessa io",NA
"62","Black Myotis","Myotis nigricans","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"July",2024,NA,NA,10.452468133,-84.0107522124,"positional accuracy = 1147 m",NA,NA,"https://www.inaturalist.org/observations/262847037",NA,NA,NA,NA,NA,NA,NA,NA,"Myotis nigricans",NA
"63","Thomas's Yellow Bat","Rhogeessa io","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"December",2024,NA,NA,10.4168094997,-84.1237859997,"positional accuracy = NA m",NA,NA,"https://www.inaturalist.org/observations/256952453",NA,NA,NA,NA,NA,NA,NA,NA,"Rhogeessa io",NA
"64","Argentine Serotine","Neoeptesicus furinalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"August",2024,NA,NA,10.4165466667,-84.1237945,"positional accuracy = 44 m",NA,NA,"https://www.inaturalist.org/observations/233997588",NA,NA,NA,NA,NA,NA,NA,NA,"Neoeptesicus",NA
"65","Argentine Serotine","Neoeptesicus furinalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March",2022,NA,NA,10.4169563,-84.1244444997,"positional accuracy = NA m",NA,NA,"https://www.inaturalist.org/observations/118843328",NA,NA,NA,NA,NA,NA,NA,NA,"Neoeptesicus",NA
"66","Western red bat","Lasiurus frantzii","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"November",2020,NA,NA,9.9966544422,-84.0372525528,"positional accuracy = 223 m",NA,NA,"https://www.inaturalist.org/observations/65561464",NA,NA,NA,NA,NA,NA,NA,NA,"Lasiurus frantzii",NA
"67","Argentine Serotine","Neoeptesicus furinalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"January",2020,NA,NA,10.430623,-84.006971,"positional accuracy = 210 m",NA,NA,"https://www.inaturalist.org/observations/39415455",NA,NA,NA,NA,NA,NA,NA,NA,"Neoeptesicus",NA
"68","Black Myotis","Myotis nigricans","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"January",2020,NA,NA,10.430623,-84.006971,"positional accuracy = 210 m",NA,NA,"https://www.inaturalist.org/observations/39415453",NA,NA,NA,NA,NA,NA,NA,NA,"Myotis nigricans",NA
"69","elegant myotis","Myotis elegans","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"September",2015,NA,NA,10.432481,-84.00802,"positional accuracy = 65 m",NA,NA,"http://www.inaturalist.org/observations/2013935",NA,NA,NA,NA,NA,NA,NA,NA,"Myotis elegans",NA
"70","Spix's Disk-winged Bat","Thyroptera tricolor","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"January",2026,NA,NA,10.5373225097,-83.8907414299,"positional accuracy = 15 m",NA,NA,"https://www.inaturalist.org/observations/335898480",NA,NA,NA,NA,NA,NA,NA,NA,"Thyroptera tricolor",NA
"71","Spix's Disk-winged Bat","Thyroptera tricolor","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March",2025,NA,NA,10.4265,-84.0014333333,"positional accuracy = 14 m",NA,NA,"https://www.inaturalist.org/observations/267956844",NA,NA,NA,NA,NA,NA,NA,NA,"Thyroptera tricolor",NA
"72","Spix's Disk-winged Bat","Thyroptera tricolor","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"July",2017,NA,NA,10.416933905,-84.1251294315,"positional accuracy = 202 m",NA,NA,"https://www.inaturalist.org/observations/126760834",NA,NA,NA,NA,NA,NA,NA,NA,"Thyroptera tricolor",NA
"73","Spix's Disk-winged Bat","Thyroptera tricolor","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"May",2022,NA,NA,10.4317263145,-84.0086584538,"positional accuracy = 216 m",NA,NA,"https://www.inaturalist.org/observations/116631217",NA,NA,NA,NA,NA,NA,NA,NA,"Thyroptera tricolor",NA
"74","Spix's Disk-winged Bat","Thyroptera tricolor","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"May",2022,NA,NA,10.4299374344,-84.0096652788,"positional accuracy = 103 m",NA,NA,"https://www.inaturalist.org/observations/116628600",NA,NA,NA,NA,NA,NA,NA,NA,"Thyroptera tricolor",NA
